mic_name,day,start_time,end_time,venue_name,borough,neighborhood,address,cost,stage_time_minutes,signup_instructions,organizer_contact,notes,latitude,longitude
Comedy Shop,Sunday,2:00 PM,4:00 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012",$7.62 (includes drink/fries),,Sign up at https://comedyshopnyc.com/events/,@thecomedyshopvillage,,40.7288305,-74.0001342
Greenwich Village Comedy Club Mic,Sunday,3:00 PM,4:45 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 MacDougal St, New York, NY 10012",$5 cash,5,Email DrewAndPetermic@gmail.com,Drew Tessier (@comedybydrew),,40.7296565,-74.001091
All American,Sunday,3:00 PM,4:00 PM,Pinebox,Brooklyn,East Williamsburg,"12 Grattan St, Brooklyn, NY 11206",1 Drink Minimum,5,Sign up in person,Natalie Lin (@allamericancomedy),,40.7052293,-73.9326664
UWS NYCC Laughing Buddha Mic,Sunday,3:00 PM,4:30 PM,UWS NY Comedy Club,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",$7,,Sign up at https://www.laughingbuddhacomedy.com/mics,Laughing Buddha (@laughingbuddhacomedy),,40.7645366,-73.9833266
How Ya Doin' Open Mic,Sunday,4:00 PM,5:00 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217",1 Item Minimum,5,Sign up in person 30 minutes prior,Hunter Wright (@xhunterwrightx),,40.6859068,-73.9816185
C Sweet Comedy,Sunday,4:00 PM,5:30 PM,Phoenix Bar,Manhattan,East Village,"50 Avenue B, New York, NY 10009",$5,5,Comment on Instagram or sign up in person,C Sweet Comedy (@csweetcomedy),,40.7231925,-73.982715
Comedy Shop,Sunday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012",$7.62 (includes drink/fries),,Sign up at https://comedyshopnyc.com/events/,@thecomedyshopvillage,,40.7288305,-74.0001342
St. Mark's Laughing Buddha Mic,Sunday,5:00 PM,6:30 PM,St. Mark's Comedy Club,Manhattan,East Village,"12 St Marks Pl, New York, NY 10003",$7,,Sign up at https://www.laughingbuddhacomedy.com/mics,Laughing Buddha (@laughingbuddhacomedy),,40.7290207,-73.9893198
Producer's Club,Sunday,5:00 PM,6:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),,40.7595017,-73.9914437
The Golden Pen,Sunday,5:00 PM,6:00 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217",1 Item Minimum,5,Sign up in person 30 minutes prior,Vinnie Pedi (@vinnie_pedi),,40.6859068,-73.9816185
Infinity Mic,Sunday,5:00 PM,7:00 PM,Caffeine Underground,Brooklyn,Bushwick,"447 Central Ave Suite A, Brooklyn, NY 11221",Free (purchase recommended),5,Sign up in person,Infinity Mic (@thesubwayshowpartdeux),,40.6922369,-73.9144937
Comediq Sunday,Sunday,5:30 PM,7:00 PM,Brooklyn Art Haus,Brooklyn,Williamsburg,"24 Marcy Ave, Brooklyn, NY 11211",Free,5,Sign up in person,Mackenzie Graves (@zebracakemack),,40.7133906,-73.9549636
Contagious Comedy,Sunday,6:00 PM,8:00 PM,The Comic Strip Live,Manhattan,UES,"1568 2nd Ave, New York, NY 10028",$10 (includes drink),5,Email contagiouscomedyopenmic@gmail.com,Nicholle Kun,On hiatus from 7/4 to 9/7,40.7748581,-73.9536956
No Name Mic,Sunday,6:00 PM,7:00 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217",1 Drink Minimum (~$10),5,Sign up in person,Ryan Walsh and Jimmy James (@rwalsh55),,40.6859068,-73.9816185
Fun Mug RIFF Mic,Sunday,6:00 PM,7:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002",$5,5,Comment on Instagram post to sign up,Pablo Pantalones (@funmugnyc),,40.7152631,-73.9901598
Party Salad,Sunday,6:00 PM,8:00 PM,Easy Lover BK,Brooklyn,Williamsburg,"790 Metropolitan Ave, Brooklyn, NY 11211",1 Drink Minimum,5,Sign up in person,Zoe and Polina (@partysaladmic),Runs on the 1st and 3rd Sunday of the month.,40.7145615,-73.9425485
Producer's Club,Sunday,6:00 PM,7:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5,5,Sign up at www.bushwickcomedy.com,Dee Major (@micdupnyc),,40.7595017,-73.9914437
Bushwick Comedy Club,Sunday,6:30 PM,7:30 PM,Bushwick Comedy Club,Brooklyn,Bushwick,"259 Melrose St, Brooklyn, NY 11206",Free (purchase recommended),5,Sign up in person,Bushwick Comedy Club (@bushwickcomedyclub),,40.702,-73.9299503
Idaho Bar Mic,Sunday,7:00 PM,8:30 PM,Idaho Bar,Manhattan,East Village,"349 E 13th St, New York, NY 10003",$2,5,Sign up in person,Idahoer (@udahocomedy),,40.7309458,-73.9833528
